,book#,booktitle,index,sentence#,sentences
0,1,How Emotions Are Made: The Secret Life of the Brain,0,0,"['With a 4-page full-color insert, and black-and-white illustrations throughoutWhy do some innocent kids grow up to become cold-blooded serial killers? Is bad biology partly to blame? For more than three decades Adrian Raine has been researching the biological roots of violence and establishing neurocriminology, a new field that applies neuroscience techniques to investigateWith a 4-page full-color insert, and black-and-white illustrations throughoutWhy do some innocent kids grow up to become cold-blooded serial killers? Is bad biology partly to blame? For more than three decades Adrian Raine has been researching the biological roots of violence and establishing neurocriminology, a new field that applies neuroscience techniques to investigate the causes and cures of crime"
1,1,How Emotions Are Made: The Secret Life of the Brain,1,1," In The Anatomy of Violence, Raine dissects the criminal mind with a fascinating, readable, and far-reaching scientific journey into the body of evidence that reveals the brain to be a key culprit in crime causation"
2,1,How Emotions Are Made: The Secret Life of the Brain,2,2," \xa0Raine documents from genetic research that the seeds of sin are sown early in life, giving rise to abnormal physiological functioning that cultivates crime"
3,1,How Emotions Are Made: The Secret Life of the Brain,3,3," Drawing on classical case studies of well-known killers in history—including Richard Speck, Ted Kaczynski, and Henry Lee Lucas—Raine illustrates how impairments to brain areas controlling our ability to experience fear, make good decisions, and feel guilt predispose us to violence"
4,1,How Emotions Are Made: The Secret Life of the Brain,4,4, He contends that killers can actually be coldhearted: something as simple as a low resting heart rate can give rise to violence
5,1,How Emotions Are Made: The Secret Life of the Brain,5,5," But arguing that biology is not destiny, he also sketches out provocative new biosocial treatment approaches that can change the brain and prevent violence"
6,1,How Emotions Are Made: The Secret Life of the Brain,6,6," \xa0Finally, Raine tackles the thorny legal and ethical dilemmas posed by his research, visualizing a futuristic brave new world where our increasing ability to identify violent offenders early in life might shape crime-prevention policies, for good and bad"
7,1,How Emotions Are Made: The Secret Life of the Brain,7,7," Will we sacrifice our notions of privacy and civil rights to identify children as potential killers in the hopes of helping both offenders and victims? How should we punish individuals with little to no control over their violent behavior? And should parenting require a license? The Anatomy of Violence offers a revolutionary appraisal of our understanding of criminal offending, while also raising provocative questions that challenge our core human values of free will, responsibility, and punishment"
8,1,How Emotions Are Made: The Secret Life of the Brain,8,8,From the Hardcover edition
9,2,Before You Know It: The Unconscious Reasons We Do What We Do,9,0,"['With a 4-page full-color insert, and black-and-white illustrations throughoutWhy do some innocent kids grow up to become cold-blooded serial killers? Is bad biology partly to blame? For more than three decades Adrian Raine has been researching the biological roots of violence and establishing neurocriminology, a new field that applies neuroscience techniques to investigateWith a 4-page full-color insert, and black-and-white illustrations throughoutWhy do some innocent kids grow up to become cold-blooded serial killers? Is bad biology partly to blame? For more than three decades Adrian Raine has been researching the biological roots of violence and establishing neurocriminology, a new field that applies neuroscience techniques to investigate the causes and cures of crime"
10,2,Before You Know It: The Unconscious Reasons We Do What We Do,10,1," In The Anatomy of Violence, Raine dissects the criminal mind with a fascinating, readable, and far-reaching scientific journey into the body of evidence that reveals the brain to be a key culprit in crime causation"
11,2,Before You Know It: The Unconscious Reasons We Do What We Do,11,2," \xa0Raine documents from genetic research that the seeds of sin are sown early in life, giving rise to abnormal physiological functioning that cultivates crime"
12,2,Before You Know It: The Unconscious Reasons We Do What We Do,12,3," Drawing on classical case studies of well-known killers in history—including Richard Speck, Ted Kaczynski, and Henry Lee Lucas—Raine illustrates how impairments to brain areas controlling our ability to experience fear, make good decisions, and feel guilt predispose us to violence"
13,2,Before You Know It: The Unconscious Reasons We Do What We Do,13,4, He contends that killers can actually be coldhearted: something as simple as a low resting heart rate can give rise to violence
14,2,Before You Know It: The Unconscious Reasons We Do What We Do,14,5," But arguing that biology is not destiny, he also sketches out provocative new biosocial treatment approaches that can change the brain and prevent violence"
15,2,Before You Know It: The Unconscious Reasons We Do What We Do,15,6," \xa0Finally, Raine tackles the thorny legal and ethical dilemmas posed by his research, visualizing a futuristic brave new world where our increasing ability to identify violent offenders early in life might shape crime-prevention policies, for good and bad"
16,2,Before You Know It: The Unconscious Reasons We Do What We Do,16,7," Will we sacrifice our notions of privacy and civil rights to identify children as potential killers in the hopes of helping both offenders and victims? How should we punish individuals with little to no control over their violent behavior? And should parenting require a license? The Anatomy of Violence offers a revolutionary appraisal of our understanding of criminal offending, while also raising provocative questions that challenge our core human values of free will, responsibility, and punishment"
17,2,Before You Know It: The Unconscious Reasons We Do What We Do,17,8,From the Hardcover edition
18,3,Denying to the Grave: Why We Ignore the Facts That Will Save Us,18,0,"['With a 4-page full-color insert, and black-and-white illustrations throughoutWhy do some innocent kids grow up to become cold-blooded serial killers? Is bad biology partly to blame? For more than three decades Adrian Raine has been researching the biological roots of violence and establishing neurocriminology, a new field that applies neuroscience techniques to investigateWith a 4-page full-color insert, and black-and-white illustrations throughoutWhy do some innocent kids grow up to become cold-blooded serial killers? Is bad biology partly to blame? For more than three decades Adrian Raine has been researching the biological roots of violence and establishing neurocriminology, a new field that applies neuroscience techniques to investigate the causes and cures of crime"
19,3,Denying to the Grave: Why We Ignore the Facts That Will Save Us,19,1," In The Anatomy of Violence, Raine dissects the criminal mind with a fascinating, readable, and far-reaching scientific journey into the body of evidence that reveals the brain to be a key culprit in crime causation"
20,3,Denying to the Grave: Why We Ignore the Facts That Will Save Us,20,2," \xa0Raine documents from genetic research that the seeds of sin are sown early in life, giving rise to abnormal physiological functioning that cultivates crime"
21,3,Denying to the Grave: Why We Ignore the Facts That Will Save Us,21,3," Drawing on classical case studies of well-known killers in history—including Richard Speck, Ted Kaczynski, and Henry Lee Lucas—Raine illustrates how impairments to brain areas controlling our ability to experience fear, make good decisions, and feel guilt predispose us to violence"
22,3,Denying to the Grave: Why We Ignore the Facts That Will Save Us,22,4, He contends that killers can actually be coldhearted: something as simple as a low resting heart rate can give rise to violence
23,3,Denying to the Grave: Why We Ignore the Facts That Will Save Us,23,5," But arguing that biology is not destiny, he also sketches out provocative new biosocial treatment approaches that can change the brain and prevent violence"
24,3,Denying to the Grave: Why We Ignore the Facts That Will Save Us,24,6," \xa0Finally, Raine tackles the thorny legal and ethical dilemmas posed by his research, visualizing a futuristic brave new world where our increasing ability to identify violent offenders early in life might shape crime-prevention policies, for good and bad"
25,3,Denying to the Grave: Why We Ignore the Facts That Will Save Us,25,7," Will we sacrifice our notions of privacy and civil rights to identify children as potential killers in the hopes of helping both offenders and victims? How should we punish individuals with little to no control over their violent behavior? And should parenting require a license? The Anatomy of Violence offers a revolutionary appraisal of our understanding of criminal offending, while also raising provocative questions that challenge our core human values of free will, responsibility, and punishment"
26,3,Denying to the Grave: Why We Ignore the Facts That Will Save Us,26,8,From the Hardcover edition
27,4,The Knowledge Illusion: Why We Never Think Alone,27,0,"['With a 4-page full-color insert, and black-and-white illustrations throughoutWhy do some innocent kids grow up to become cold-blooded serial killers? Is bad biology partly to blame? For more than three decades Adrian Raine has been researching the biological roots of violence and establishing neurocriminology, a new field that applies neuroscience techniques to investigateWith a 4-page full-color insert, and black-and-white illustrations throughoutWhy do some innocent kids grow up to become cold-blooded serial killers? Is bad biology partly to blame? For more than three decades Adrian Raine has been researching the biological roots of violence and establishing neurocriminology, a new field that applies neuroscience techniques to investigate the causes and cures of crime"
28,4,The Knowledge Illusion: Why We Never Think Alone,28,1," In The Anatomy of Violence, Raine dissects the criminal mind with a fascinating, readable, and far-reaching scientific journey into the body of evidence that reveals the brain to be a key culprit in crime causation"
29,4,The Knowledge Illusion: Why We Never Think Alone,29,2," \xa0Raine documents from genetic research that the seeds of sin are sown early in life, giving rise to abnormal physiological functioning that cultivates crime"
30,4,The Knowledge Illusion: Why We Never Think Alone,30,3," Drawing on classical case studies of well-known killers in history—including Richard Speck, Ted Kaczynski, and Henry Lee Lucas—Raine illustrates how impairments to brain areas controlling our ability to experience fear, make good decisions, and feel guilt predispose us to violence"
31,4,The Knowledge Illusion: Why We Never Think Alone,31,4, He contends that killers can actually be coldhearted: something as simple as a low resting heart rate can give rise to violence
32,4,The Knowledge Illusion: Why We Never Think Alone,32,5," But arguing that biology is not destiny, he also sketches out provocative new biosocial treatment approaches that can change the brain and prevent violence"
33,4,The Knowledge Illusion: Why We Never Think Alone,33,6," \xa0Finally, Raine tackles the thorny legal and ethical dilemmas posed by his research, visualizing a futuristic brave new world where our increasing ability to identify violent offenders early in life might shape crime-prevention policies, for good and bad"
34,4,The Knowledge Illusion: Why We Never Think Alone,34,7," Will we sacrifice our notions of privacy and civil rights to identify children as potential killers in the hopes of helping both offenders and victims? How should we punish individuals with little to no control over their violent behavior? And should parenting require a license? The Anatomy of Violence offers a revolutionary appraisal of our understanding of criminal offending, while also raising provocative questions that challenge our core human values of free will, responsibility, and punishment"
35,4,The Knowledge Illusion: Why We Never Think Alone,35,8,From the Hardcover edition
36,5,How the Body Knows Its Mind: The Surprising Power of the Physical Environment to Influence How You Think and Feel,36,0,"['With a 4-page full-color insert, and black-and-white illustrations throughoutWhy do some innocent kids grow up to become cold-blooded serial killers? Is bad biology partly to blame? For more than three decades Adrian Raine has been researching the biological roots of violence and establishing neurocriminology, a new field that applies neuroscience techniques to investigateWith a 4-page full-color insert, and black-and-white illustrations throughoutWhy do some innocent kids grow up to become cold-blooded serial killers? Is bad biology partly to blame? For more than three decades Adrian Raine has been researching the biological roots of violence and establishing neurocriminology, a new field that applies neuroscience techniques to investigate the causes and cures of crime"
37,5,How the Body Knows Its Mind: The Surprising Power of the Physical Environment to Influence How You Think and Feel,37,1," In The Anatomy of Violence, Raine dissects the criminal mind with a fascinating, readable, and far-reaching scientific journey into the body of evidence that reveals the brain to be a key culprit in crime causation"
38,5,How the Body Knows Its Mind: The Surprising Power of the Physical Environment to Influence How You Think and Feel,38,2," \xa0Raine documents from genetic research that the seeds of sin are sown early in life, giving rise to abnormal physiological functioning that cultivates crime"
39,5,How the Body Knows Its Mind: The Surprising Power of the Physical Environment to Influence How You Think and Feel,39,3," Drawing on classical case studies of well-known killers in history—including Richard Speck, Ted Kaczynski, and Henry Lee Lucas—Raine illustrates how impairments to brain areas controlling our ability to experience fear, make good decisions, and feel guilt predispose us to violence"
40,5,How the Body Knows Its Mind: The Surprising Power of the Physical Environment to Influence How You Think and Feel,40,4, He contends that killers can actually be coldhearted: something as simple as a low resting heart rate can give rise to violence
41,5,How the Body Knows Its Mind: The Surprising Power of the Physical Environment to Influence How You Think and Feel,41,5," But arguing that biology is not destiny, he also sketches out provocative new biosocial treatment approaches that can change the brain and prevent violence"
42,5,How the Body Knows Its Mind: The Surprising Power of the Physical Environment to Influence How You Think and Feel,42,6," \xa0Finally, Raine tackles the thorny legal and ethical dilemmas posed by his research, visualizing a futuristic brave new world where our increasing ability to identify violent offenders early in life might shape crime-prevention policies, for good and bad"
43,5,How the Body Knows Its Mind: The Surprising Power of the Physical Environment to Influence How You Think and Feel,43,7," Will we sacrifice our notions of privacy and civil rights to identify children as potential killers in the hopes of helping both offenders and victims? How should we punish individuals with little to no control over their violent behavior? And should parenting require a license? The Anatomy of Violence offers a revolutionary appraisal of our understanding of criminal offending, while also raising provocative questions that challenge our core human values of free will, responsibility, and punishment"
44,5,How the Body Knows Its Mind: The Surprising Power of the Physical Environment to Influence How You Think and Feel,44,8,From the Hardcover edition
45,6,Wired for Culture: Origins of the Human Social Mind,45,0,"['With a 4-page full-color insert, and black-and-white illustrations throughoutWhy do some innocent kids grow up to become cold-blooded serial killers? Is bad biology partly to blame? For more than three decades Adrian Raine has been researching the biological roots of violence and establishing neurocriminology, a new field that applies neuroscience techniques to investigateWith a 4-page full-color insert, and black-and-white illustrations throughoutWhy do some innocent kids grow up to become cold-blooded serial killers? Is bad biology partly to blame? For more than three decades Adrian Raine has been researching the biological roots of violence and establishing neurocriminology, a new field that applies neuroscience techniques to investigate the causes and cures of crime"
46,6,Wired for Culture: Origins of the Human Social Mind,46,1," In The Anatomy of Violence, Raine dissects the criminal mind with a fascinating, readable, and far-reaching scientific journey into the body of evidence that reveals the brain to be a key culprit in crime causation"
47,6,Wired for Culture: Origins of the Human Social Mind,47,2," \xa0Raine documents from genetic research that the seeds of sin are sown early in life, giving rise to abnormal physiological functioning that cultivates crime"
48,6,Wired for Culture: Origins of the Human Social Mind,48,3," Drawing on classical case studies of well-known killers in history—including Richard Speck, Ted Kaczynski, and Henry Lee Lucas—Raine illustrates how impairments to brain areas controlling our ability to experience fear, make good decisions, and feel guilt predispose us to violence"
49,6,Wired for Culture: Origins of the Human Social Mind,49,4, He contends that killers can actually be coldhearted: something as simple as a low resting heart rate can give rise to violence
50,6,Wired for Culture: Origins of the Human Social Mind,50,5," But arguing that biology is not destiny, he also sketches out provocative new biosocial treatment approaches that can change the brain and prevent violence"
