,Book#,Book_Title,Description,Genres
0,1,How Emotions Are Made: The Secret Life of the Brain,"A new theory of how the brain constructs emotions that could revolutionize psychology, health care, law enforcement, and our understanding of the human mind.Emotions feel automatic, like uncontrollable reactions to things we think and experience. Scientists have long supported this assumption by claiming that emotions are hardwired in the body or the brain. Today, however,A new theory of how the brain constructs emotions that could revolutionize psychology, health care, law enforcement, and our understanding of the human mind.Emotions feel automatic, like uncontrollable reactions to things we think and experience. Scientists have long supported this assumption by claiming that emotions are hardwired in the body or the brain. Today, however, the science of emotion is in the midst of a revolution on par with the discovery of relativity in physics and natural selection in biology—ans this paradigm shift has far-reaching implications for us all.Leading the charge is psychologist and neuroscientist Lisa Feldman Barrett, whose theory of emotion is driving a deeper understanding of the mind and brain, and shedding new light on what it means to be human. Her research overturns the widely held belief that emotions are housed in different parts of the brain and are universally expressed and recognized. Instead, she has shown that emotion is constructed in the moment, by core systems that interact across the whole brain, aided by a lifetime of learning. This new theory means that you play a much greater role in your emotional life than you ever thought. Its repercussions are already shaking the foundations not only of psychology but also of medicine, the legal system, child-rearing, meditation, and even airport security.Why do emotions feel automatic? Does rational thought really control emotion? How does emotion affect disease? How can you make your children more emotionally intelligent? How Emotions Are Made answers these questions and many more, revealing the latest research and intriguing practical applications of the new science of emotion, mind, and brain. ","['psychology', 'nonfiction', 'science', 'neuroscience', 'brain', 'biology']"
1,2,Before You Know It: The Unconscious Reasons We Do What We Do,"Dr. John Bargh, the world’s leading expert on the unconscious mind, presents a “brilliant and convincing book” (Malcolm Gladwell) cited as an outstanding read of 2017 by Business Insider and The Financial Times—giving us an entirely new understanding of the hidden mental processes that secretly govern every aspect of our behavior.For more than three decades, Dr. John BarghDr. John Bargh, the world’s leading expert on the unconscious mind, presents a “brilliant and convincing book” (Malcolm Gladwell) cited as an outstanding read of 2017 by Business Insider and The Financial Times—giving us an entirely new understanding of the hidden mental processes that secretly govern every aspect of our behavior.For more than three decades, Dr. John Bargh has conducted revolutionary research into the unconscious mind, research featured in bestsellers like Blink and Thinking Fast and Slow. Now, in what Dr. John Gottman said was “the most important and exciting book in psychology that has been written in the past twenty years,” Dr. Bargh takes us on an entertaining and enlightening tour of the forces that affect everyday behavior while transforming our understanding of ourselves in profound ways. Dr. Bargh takes us into his labs at New York University and Yale—where he and his colleagues have discovered how the unconscious guides our behavior, goals, and motivations in areas like race relations, parenting, business, consumer behavior, and addiction. With infectious enthusiasm he reveals what science now knows about the pervasive influence of the unconscious mind in who we choose to date or vote for, what we buy, where we live, how we perform on tests and in job interviews, and much more. Because the unconscious works in ways we are completely unaware of, Before You Know It is full of surprising and entertaining revelations as well as useful tricks to help you remember items on your to-do list, to shop smarter, and to sleep better.Before You Know It is “a fascinating compendium of landmark social-psychology research” (Publishers Weekly) and an introduction to a fabulous world that exists below the surface of your awareness and yet is the key to knowing yourself and unlocking new ways of thinking, feeling, and behaving.","['psychology', 'nonfiction', 'science', 'audiobook', 'brain']"
2,3,Denying to the Grave: Why We Ignore the Facts That Will Save Us,"Why do some parents refuse to vaccinate their children? Why do some people keep guns at home, despite scientific evidence of risk to their family members? And why do people use antibiotics for illnesses they cannot possibly alleviate? When it comes to health, many people insist that science is wrong, that the evidence is incomplete, and that unidentified hazards lurk everyWhy do some parents refuse to vaccinate their children? Why do some people keep guns at home, despite scientific evidence of risk to their family members? And why do people use antibiotics for illnesses they cannot possibly alleviate? When it comes to health, many people insist that science is wrong, that the evidence is incomplete, and that unidentified hazards lurk everywhere.In Denying to the Grave, Gorman and Gorman, a father-daughter team, explore the psychology of health science denial. Using several examples of such denial as test cases, they propose six key principles that may lead individuals to reject ""accepted"" health-related wisdom: the charismatic leader; fear of complexity; confirmation bias and the internet; fear of corporate and government conspiracies; causality and filling the ignorance gap; and the nature of risk prediction. The authors argue that the health sciences are especially vulnerable to our innate resistance to integrate new concepts with pre-existing beliefs. This psychological difficulty of incorporating new information is on the cutting edge of neuroscience research, as scientists continue to identify brain responses to new information that reveal deep-seated, innate discomfort with changing our minds.Denying to the Grave explores risk theory and how people make decisions about what is best for them and their loved ones, in an effort to better understand how people think when faced with significant health decisions. This book points the way to a new and important understanding of how science should be conveyed to the public in order to save lives with existing knowledge and technology.","['nonfiction', 'psychology', 'science', 'sociology']"
3,4,The Knowledge Illusion: Why We Never Think Alone,"Humans have built hugely complex societies and technologies, but most of us don't even know how a pen or a toilet works. How have we achieved so much despite understanding so little? Cognitive scientists Steven Sloman and Philip Fernbach argue that we survive and thrive despite our mental shortcomings because we live in a rich community of knowledge. The key to our intelliHumans have built hugely complex societies and technologies, but most of us don't even know how a pen or a toilet works. How have we achieved so much despite understanding so little? Cognitive scientists Steven Sloman and Philip Fernbach argue that we survive and thrive despite our mental shortcomings because we live in a rich community of knowledge. The key to our intelligence lies in the people and things around us. We're constantly drawing on information and expertise stored outside our heads: in our bodies, our environment, our possessions, and the community with which we interact--and usually we don't even realize we're doing it.  The human mind is both brilliant and pathetic. We have mastered fire, created democratic institutions, stood on the moon, and sequenced our genome. And yet each of us is error prone, sometimes irrational, and often ignorant. The fundamentally communal nature of intelligence and knowledge explains why we often assume we know more than we really do, why political opinions and false beliefs are so hard to change, and why individually oriented approaches to education and management frequently fail. But our collaborative minds also enable us to do amazing things. This book contends that true genius can be found in the ways we create intelligence using the world around us.","['psychology', 'nonfiction', 'science', 'philosophy', 'sociology']"
4,5,How the Body Knows Its Mind: The Surprising Power of the Physical Environment to Influence How You Think and Feel,"An award-winning scientist offers a groundbreaking new understanding of the mind-body connection and its profound impact on everything from advertising to romance.The human body is not just a passive device carrying out messages sent by the brain, but rather an integral part of how we think and make decisions. In her groundbreaking new book, Sian Beilock, author of the higAn award-winning scientist offers a groundbreaking new understanding of the mind-body connection and its profound impact on everything from advertising to romance.The human body is not just a passive device carrying out messages sent by the brain, but rather an integral part of how we think and make decisions. In her groundbreaking new book, Sian Beilock, author of the highly acclaimed Choke, which Time magazine praised for its “smart tips...in order to think clearly...and be cool under pressure,” draws on her own cutting-edge research to turn the conventional understanding of the mind upside down in ways that will revolutionize how we live our lives.At the heart of How the Body Knows Its Mind is the tantalizing idea that our bodies “hack” our brains. The way we move affects our thoughts, our decisions, and even our preferences for particular products. Called “embodied cognition,” this new science—of which Beilock is a foremost researcher—illuminates the power of the body and its physical surroundings to shape how we think, feel, and behave. Beilock’s findings are as varied as they are surprising. For example, pacing around the room can enhance creativity; gesturing during a speech can help ensure that you don’t draw a blank; kids learn better when their bodies are part of the learning process; walking in nature boosts concentration skills; Botox users experience less depression; and much more. From the tricks used by advertisers to the ways body language can improve your memory, Beilock explains a wealth of fascinating interconnections between mind and body and how mastering them can make us happier, safer, and more successful.","['psychology', 'nonfiction', 'science', 'selfhelp', 'health', 'productivity']"
5,6,Wired for Culture: Origins of the Human Social Mind,"A unique trait of the human species is that our personalities, lifestyles, and worldviews are shaped by an accident of birth—namely, the culture into which we are born. It is our cultures and not our genes that determine which foods we eat, which languages we speak, which people we love and marry, and which people we kill in war. But how did our species develop a mind thatA unique trait of the human species is that our personalities, lifestyles, and worldviews are shaped by an accident of birth—namely, the culture into which we are born. It is our cultures and not our genes that determine which foods we eat, which languages we speak, which people we love and marry, and which people we kill in war. But how did our species develop a mind that is hardwired for culture—and why?Evolutionary biologist Mark Pagel tracks this intriguing question through the last 80,000 years of human evolution, revealing how an innate propensity to contribute and conform to the culture of our birth not only enabled human survival and progress in the past but also continues to influence our behavior today. Shedding light on our species’ defining attributes—from art, morality, and altruism to self-interest, deception, and prejudice—Wired for Culture offers surprising new insights into what it means to be human.","['nonfiction', 'science', 'psychology', 'sociology', 'cultural', 'history']"
6,7,Mind – A Journey to the Heart of Being Human,"What is the mind? What is the experience of the self truly made of? How does the mind differ from the brain? Though the mind’s contents—its emotions, thoughts, and memories—are often described, the essence of mind is rarely, if ever, defined.In this book, noted neuropsychiatrist and New York Times best-selling author Daniel J. Siegel, MD, uses his characteristic sensitivitWhat is the mind? What is the experience of the self truly made of? How does the mind differ from the brain? Though the mind’s contents—its emotions, thoughts, and memories—are often described, the essence of mind is rarely, if ever, defined.In this book, noted neuropsychiatrist and New York Times best-selling author Daniel J. Siegel, MD, uses his characteristic sensitivity and interdisciplinary background to offer a definition of the mind that illuminates the how, what, when, where, and even why of who we are, of what the mind is, and what the mind’s self has the potential to become. MIND takes the reader on a deep personal and scientific journey into consciousness, subjective experience, and information processing, uncovering the mind’s self-organizational properties that emerge from both the body and the relationships we have with one another, and with the world around us. While making a wide range of sciences accessible and exciting—from neurobiology to quantum physics, anthropology to psychology—this book offers an experience that addresses some of our most pressing personal and global questions about identity, connection, and the cultivation of well-being in our lives.","['psychology', 'science', 'nonfiction', 'philosophy', 'personaldevelopment', 'counselling', 'spirituality']"
7,8,"Nerve: Poise Under Pressure, Serenity Under Stress, and the Brave New Science of Fear and Cool","Nerves make us bomb job interviews, first dates, and SATs. With a presentation looming at work, fear robs us of sleep for days. It paralyzes seasoned concert musicians and freezes rookie cops in tight situations. And yet not everyone cracks. Soldiers keep their heads in combat; firemen rush into burning buildings; unflappable trauma doctors juggle patient after patient. ItNerves make us bomb job interviews, first dates, and SATs. With a presentation looming at work, fear robs us of sleep for days. It paralyzes seasoned concert musicians and freezes rookie cops in tight situations. And yet not everyone cracks. Soldiers keep their heads in combat; firemen rush into burning buildings; unflappable trauma doctors juggle patient after patient. It's not that these people feel no fear; often, in fact, they're riddled with it. In Nerve, Taylor Clark draws upon cutting-edge science and painstaking reporting to explore the very heart of panic and poise. Using a wide range of case studies, Clark overturns the popular myths about anxiety and fear to explain why some people thrive under pressure, while others falter-and how we can go forward with steadier nerves and increased confidence.","['nonfiction', 'psychology', 'science', 'selfhelp', 'health']"
8,9,Pieces of Light: The New Science of Memory,"A new consensus is emerging among cognitive scientists: rather than possessing fixed, unchanging memories, we create new recollections each time we are called upon to remember. As psychologist Charles Fernyhough explains, remembering is an act of narrative imagination as much as it is the product of a neurological process. In Pieces of Light, he illuminates this compellingA new consensus is emerging among cognitive scientists: rather than possessing fixed, unchanging memories, we create new recollections each time we are called upon to remember. As psychologist Charles Fernyhough explains, remembering is an act of narrative imagination as much as it is the product of a neurological process. In Pieces of Light, he illuminates this compelling scientific breakthrough in a series of personal stories, each illustrating memory's complex synergy of cognitive and neurological functions.Combining science and literature, the ordinary and the extraordinary, this fascinating tour through the new science of autobiographical memory helps us better understand the ways we remember—and the ways we forget.","['science', 'nonfiction', 'psychology', 'neuroscience', 'memoir', 'brain']"
9,10,The Anatomy of Violence: The Biological Roots of Crime,"With a 4-page full-color insert, and black-and-white illustrations throughoutWhy do some innocent kids grow up to become cold-blooded serial killers? Is bad biology partly to blame? For more than three decades Adrian Raine has been researching the biological roots of violence and establishing neurocriminology, a new field that applies neuroscience techniques to investigateWith a 4-page full-color insert, and black-and-white illustrations throughoutWhy do some innocent kids grow up to become cold-blooded serial killers? Is bad biology partly to blame? For more than three decades Adrian Raine has been researching the biological roots of violence and establishing neurocriminology, a new field that applies neuroscience techniques to investigate the causes and cures of crime. In The Anatomy of Violence, Raine dissects the criminal mind with a fascinating, readable, and far-reaching scientific journey into the body of evidence that reveals the brain to be a key culprit in crime causation.  Raine documents from genetic research that the seeds of sin are sown early in life, giving rise to abnormal physiological functioning that cultivates crime. Drawing on classical case studies of well-known killers in history—including Richard Speck, Ted Kaczynski, and Henry Lee Lucas—Raine illustrates how impairments to brain areas controlling our ability to experience fear, make good decisions, and feel guilt predispose us to violence. He contends that killers can actually be coldhearted: something as simple as a low resting heart rate can give rise to violence. But arguing that biology is not destiny, he also sketches out provocative new biosocial treatment approaches that can change the brain and prevent violence.  Finally, Raine tackles the thorny legal and ethical dilemmas posed by his research, visualizing a futuristic brave new world where our increasing ability to identify violent offenders early in life might shape crime-prevention policies, for good and bad. Will we sacrifice our notions of privacy and civil rights to identify children as potential killers in the hopes of helping both offenders and victims? How should we punish individuals with little to no control over their violent behavior? And should parenting require a license? The Anatomy of Violence offers a revolutionary appraisal of our understanding of criminal offending, while also raising provocative questions that challenge our core human values of free will, responsibility, and punishment.From the Hardcover edition.","['psychology', 'nonfiction', 'science', 'crime', 'neuroscience', 'biology']"
